Method,ROC-AUC,AP,Accuracy,F1,Precision,Recall,MRR
Neighbor Agg. + Dot Product,0.962166909491973,0.9588868478906453,0.8671586715867159,0.881578947368421,0.7952522255192879,0.988929889298893,0.31310296116083797
Neighbor Agg. + Centrality + Dot Product,0.9266077531624024,0.8878241070262359,0.8450184501845018,0.8640776699029126,0.7694524495677233,0.985239852398524,0.07390339715187369
Neighbor Agg. + Logistic Reg.,0.603150828556256,0.5783674425795129,0.5894833948339483,0.6133796698523023,0.5796387520525451,0.6512915129151291,0.017399756281477344
Node2Vec + Text + Dot Product,0.9071329366430195,0.9297488307543181,0.7739852398523985,0.7121034077555817,0.9805825242718447,0.559040590405904,0.3591111052958605
Node2Vec + Text + Logistic Reg.,0.6700208330496589,0.6797677476345589,0.6300738007380073,0.6310947562097516,0.6293577981651376,0.6328413284132841,0.06588059071406119
GCN (N2V + Text) + MLP,0.8449503683228714,0.8701359150409922,0.790590405904059,0.762303664921466,0.8813559322033898,0.6715867158671587,0.15661332826960003
